9,8
1,9
6,3
1,2
0,8
6,6
1,2
7,3
3,0
3,5
1,2
0,0
0,1
1,2
4,5
1,4
3,7
9,4
2,8
8,0
5,2
3,0
5,1
7,8
5,7
7,7
0,8
9,6
9,8
0,6
2,8
2,1
4,1
8,1
3,0
4,8
6,8
9,5
9,3
4,7
3,6
4,1
9,7
7,9
7,9
8,4
4,4
7,6
1,0
5,4
0,0
5,7
3,2
2,4
3,5
6,3
3,2
9,0
6,7
4,1
5,1
8,7
2,2
3,6
0,6
5,1
4,8
2,4
3,6
0,1
1,3
7,0
3,2
1,4
9,6
5,6
2,6
8,0
8,0
2,0
2,8
5,1
5,5
1,4
3,1
6,6
0,4
2,1
7,9
3,1
0,7
5,3
7,2
6,7
7,6
2,1
5,7
6,2
8,1
1,2
