67,18,94,24,56,16,14,33,0,28,61,41,53,34,96,38,17,1,76,9,85
60,32,74,56,88,65,91,83,90,63,44,17,96,72,13,95,58,20,71,0,68
23,47,19,62,13,43,54,74,72,3,6,29,39,0,61,14,85,82,44,53,57
86,59,98,61,82,96,3,95,13,7,91,29,69,88,4,49,39,34,72,74,31
87,16,77,52,39,18,83,57,96,25,29,42,15,10,17,13,58,90,22,3,14
25,19,43,98,41,87,26,96,42,2,10,90,15,3,86,53,31,1,48,66,73
88,92,78,1,29,15,61,79,60,74,54,67,17,46,93,13,4,27,99,19,25
56,43,14,1,61,30,57,36,99,97,86,81,80,46,48,72,39,41,85,79,53
88,51,18,1,2,46,50,11,81,77,27,68,71,34,39,82,96,41,61,12,36
56,37,83,34,65,61,44,58,13,39,74,53,80,2,43,77,21,92,97,30,51
55,0,27,89,35,63,44,12,68,17,60,78,41,59,96,9,16,84,98,40,19
55,58,59,65,90,40,16,31,77,48,51,1,50,91,44,5,39,42,69,3,89
81,98,96,65,13,1,88,97,12,72,11,46,8,45,21,10,77,82,27,93,24
99,29,40,81,47,41,5,22,1,70,83,84,6,30,86,46,26,79,97,38,69
12,46,29,96,14,16,66,69,45,15,33,18,67,39,40,27,31,59,91,98,28
83,0,54,79,13,47,85,21,88,27,19,86,95,23,57,33,77,32,24,90,44
65,41,78,33,80,5,60,50,38,88,94,7,68,18,75,56,6,16,3,14,39
62,61,68,54,72,36,47,80,94,81,93,82,20,87,83,90,88,10,56,77,58
65,21,7,40,72,78,75,49,88,19,92,58,25,13,68,35,51,14,10,2,59
11,80,23,59,22,12,90,48,51,66,27,84,54,2,81,73,55,82,21,42,16
87,84,6,35,3,89,8,86,60,24,97,46,55,23,64,78,61,67,4,53,18
9,49,4,85,34,16,91,64,53,40,27,35,3,61,0,67,19,50,45,43,24
92,88,53,89,26,68,56,4,54,55,7,69,70,23,73,47,84,62,46,74,45
84,79,62,33,32,44,64,72,46,91,66,73,58,43,10,11,14,96,9,31,26
5,7,66,16,3,55,6,37,99,9,35,14,73,27,19,84,1,28,47,38,12
68,11,25,88,43,85,16,67,93,87,9,63,91,61,24,60,95,72,5,34,59
60,99,74,17,80,4,93,90,61,56,43,0,30,98,94,49,5,88,21,35,26
29,94,19,74,46,5,27,31,57,1,32,44,79,63,98,45,6,33,4,58,60
33,39,62,96,43,32,83,53,15,34,7,74,99,52,20,75,73,84,40,27,35
94,11,89,60,90,64,18,7,57,20,38,29,25,2,85,23,63,42,12,76,9
36,16,27,7,94,38,2,88,63,17,52,69,86,82,51,46,80,15,0,55,18
23,6,3,70,8,68,39,54,90,17,61,57,44,36,67,75,4,43,59,1,95
40,1,70,45,14,24,64,12,94,61,59,37,60,27,95,91,75,69,17,83,19
