8,1
6,4
6,0
0,8
8,0
7,9
8,6
5,2
0,7
7,2
4,7
8,3
2,4
6,2
3,2
8,1
9,1
5,1
5,9
0,7
3,9
9,9
9,5
1,6
5,0
0,7
6,4
3,4
2,8
5,3
0,4
5,8
3,3
6,9
5,9
3,2
6,7
8,7
6,8
3,0
3,5
0,9
7,5
8,4
1,2
6,7
3,9
6,0
4,0
7,8
2,6
7,7
8,0
4,7
1,4
0,0
3,7
0,9
1,4
6,2
7,4
8,7
8,9
8,6
0,5
3,0
9,9
1,1
3,0
3,6
9,8
2,8
0,1
8,4
9,6
2,6
3,8
7,7
6,1
6,2
2,7
1,6
1,3
2,1
5,6
3,9
0,1
5,2
6,3
6,8
6,5
3,0
2,7
4,4
2,7
1,7
3,9
9,7
9,4
5,5
