7,5
7,0
0,0
0,2
3,5
3,6
1,4
8,8
3,7
3,2
3,0
9,3
9,8
7,4
3,6
0,9
1,2
6,2
9,7
4,2
0,8
7,5
8,2
1,7
7,2
2,1
8,7
6,9
3,7
7,0
0,0
7,2
5,5
2,3
2,6
0,6
7,8
8,5
8,0
4,7
0,1
4,9
5,2
1,6
3,8
0,4
5,6
5,3
7,9
2,9
4,6
8,9
0,7
1,5
2,3
9,0
3,3
4,4
7,4
5,7
2,7
6,7
5,3
5,0
4,1
1,9
4,9
9,8
0,1
4,9
3,9
0,8
7,8
8,6
3,2
0,9
8,4
3,9
4,7
5,4
3,4
2,6
9,9
7,4
4,2
3,5
6,2
4,3
2,4
7,8
3,5
8,7
3,1
0,2
5,9
6,0
9,2
2,8
2,8
6,4
