90,3,68,29,0,99
87,14,72,17,40,8
74,84,90,60,65,54
68,92,18,79,31,25
69,28,74,15,30,95
57,1,89,18,9,75
87,47,93,52,37,31
16,24,49,28,39,48
74,3,32,67,15,82
83,0,14,49,89,85
60,99,13,35,53,57
0,81,33,14,18,71
4,31,22,6,59,14
5,62,33,65,30,99
68,94,66,17,12,16
5,73,7,15,49,64
88,87,67,18,48,73
86,74,96,13,93,22
10,63,82,5,86,74
26,75,81,21,66,84
86,84,35,38,53,51
5,54,9,2,92,38
87,10,40,22,18,82
46,67,23,79,73,19
28,52,6,23,0,74
7,85,10,83,95,88
54,3,39,42,64,10
81,68,70,15,51,21
48,33,41,25,31,81
65,41,22,40,3,45
97,39,31,59,10,58
95,48,19,15,85,91
81,4,35,79,63,22
64,58,10,38,61,16
63,50,44,87,16,59
45,26,24,9,7,74
86,52,54,29,94,58
72,27,19,14,38,85
26,75,72,38,77,28
28,68,12,79,0,52
4,30,69,79,12,66
12,46,44,0,26,98
78,6,54,82,5,12
44,73,46,79,14,60
34,21,35,75,86,10
64,22,1,90,58,79
6,76,53,45,10,73
74,98,27,95,2,24
9,54,73,67,16,8
85,80,70,51,47,86
51,36,10,96,59,17
81,48,23,56,18,55
59,11,77,34,81,63
32,68,83,72,79,12
34,85,51,44,42,49
77,60,19,52,59,53
73,21,31,60,12,52
78,7,25,98,5,4
12,68,98,27,87,26
89,31,82,14,10,19
77,76,21,60,87,36
27,23,28,62,5,3
5,49,78,73,14,13
10,55,83,14,99,7
34,46,27,99,81,26
77,85,48,56,6,35
12,89,84,23,30,27
16,94,69,37,59,29
6,71,23,80,0,5
84,71,68,80,5,85
16,19,1,92,58,51
94,4,38,49,74,64
13,35,87,68,2,79
99,8,5,33,9,82
25,92,79,54,47,19
43,97,68,87,86,71
24,43,34,13,36,94
11,60,71,57,47,91
85,61,67,76,3,29
74,10,21,16,45,48
55,95,75,96,36,45
46,57,69,47,70,65
26,36,57,64,80,6
63,54,58,17,51,26
7,30,70,38,79,25
68,41,54,79,55,56
69,3,48,81,32,88
44,13,16,28,83,80
33,86,29,49,74,78
83,2,87,82,16,35
49,34,4,97,41,84
9,90,70,72,39,87
60,68,70,36,80,10
65,49,63,57,24,23
22,97,62,49,73,69
0,51,36,50,43,61
93,66,25,99,10,80
53,7,88,29,12,37
64,76,38,32,4,7
78,40,1,0,5,92
