73,54,48,39,99,16,15,57,58,85,17,50,18,91,72,79
53,30,23,8,32,19,85,59,10,11,70,18,15,57,98,12
54,82,19,88,42,37,90,87,53,77,51,78,5,16,29,36
81,36,58,2,92,5,23,55,78,46,73,47,38,62,66,97
17,98,68,74,82,71,38,89,22,92,63,53,83,25,75,3
44,9,96,62,75,13,14,32,25,55,54,48,8,45,51,27
39,25,65,48,59,60,99,82,67,41,93,37,91,36,54,34
74,99,10,91,17,63,95,68,70,64,33,16,50,61,76,51
55,83,57,79,49,70,16,41,33,85,91,66,95,60,92,36
82,88,5,69,39,46,42,97,38,20,70,8,27,19,85,1
3,60,95,61,34,12,87,74,29,89,79,70,56,73,38,49
87,47,1,60,68,52,39,14,15,98,73,9,48,38,32,71
76,37,11,91,30,6,98,10,99,97,53,31,63,43,74,82
66,93,36,69,92,16,89,6,56,25,94,61,76,72,82,87
20,19,6,91,75,85,14,99,0,73,94,36,30,98,9,66
25,22,30,95,59,4,40,43,47,17,39,55,35,46,75,78
31,32,79,36,94,37,47,42,44,38,34,58,87,50,26,1
0,1,46,47,44,99,91,18,8,64,43,33,42,12,31,37
22,88,8,96,18,5,76,1,58,38,9,14,85,83,32,39
98,31,86,39,36,71,8,41,96,3,91,42,49,87,69,33
66,54,67,26,31,50,73,43,68,36,17,62,88,19,91,24
30,51,67,79,69,59,81,31,7,21,89,83,12,22,42,34
10,61,65,66,64,24,25,27,57,59,43,13,33,91,22,83
52,60,69,2,68,6,93,91,30,82,62,48,72,1,47,17
66,64,68,34,7,9,42,69,62,6,10,93,30,59,48,13
65,80,21,18,56,16,89,42,70,24,7,0,27,95,85,41
59,58,70,20,35,65,60,72,29,91,47,78,63,46,83,38
25,15,20,92,78,44,87,98,97,62,5,11,63,8,76,32
17,74,95,48,24,0,61,89,11,25,96,60,32,9,69,97
90,86,77,44,94,71,34,20,65,92,67,62,27,35,18,17
35,69,7,54,10,89,51,44,14,83,36,50,58,71,66,96
44,98,64,14,0,65,96,54,81,17,56,30,21,94,35,25
98,50,15,62,69,64,72,59,22,29,37,84,74,86,75,33
45,0,74,32,83,71,38,7,1,51,89,42,98,50,72,14
25,20,88,48,94,38,43,67,30,64,47,23,82,19,79,42
24,17,59,21,35,47,32,82,65,51,58,45,7,85,36,27
99,72,78,28,8,34,95,29,56,27,4,53,43,76,21,86
61,52,8,23,82,72,48,17,5,11,70,2,69,92,29,76
33,5,41,57,75,88,47,69,93,61,49,25,63,46,92,65
74,77,93,75,50,55,59,3,13,23,96,47,87,45,22,60
50,19,35,9,88,31,26,0,24,85,69,91,73,11,83,43
85,75,81,22,49,57,23,60,47,34,27,38,21,13,67,58
37,64,21,10,46,61,91,42,13,31,54,22,65,98,43,12
83,20,72,89,6,21,19,15,80,44,65,61,28,86,43,49
71,47,61,11,44,30,36,68,51,69,63,8,39,81,88,38
66,71,21,34,56,92,97,7,35,62,46,80,86,98,5,33
62,52,75,89,97,63,87,31,50,99,78,55,82,11,12,76
33,67,53,31,19,16,9,30,36,45,73,26,12,48,41,40
66,52,63,68,56,1,50,28,6,55,62,87,41,3,33,43
51,87,88,65,93,8,79,68,66,14,31,56,74,34,70,91
53,93,7,49,74,55,52,23,69,89,92,85,26,43,12,30
18,64,51,7,55,99,89,30,66,11,61,67,0,24,36,27
76,27,7,37,83,14,69,0,44,52,49,86,4,64,33,2
0,69,92,41,52,43,75,46,51,54,14,12,94,95,89,20
78,93,1,55,83,38,36,97,77,49,90,51,22,56,2,34
64,84,85,63,55,73,37,33,14,7,40,71,72,97,83,42
61,26,21,19,34,98,20,11,12,8,16,82,70,46,94,18
39,37,74,72,76,20,5,19,63,64,32,22,25,54,85,45
56,70,93,15,84,19,36,44,9,78,68,65,77,37,50,13
77,84,46,30,50,44,45,17,8,31,97,98,15,42,57,52
28,59,94,51,3,32,54,61,6,52,41,15,63,84,76,66
48,20,93,16,37,45,49,70,39,63,19,99,1,85,76,87
25,64,75,12,32,28,20,78,53,30,37,76,4,79,24,6
9,88,21,70,33,26,3,27,8,4,15,57,14,69,62,22
42,74,26,32,66,75,46,29,40,41,50,17,94,80,86,68
49,92,37,25,65,78,69,82,28,29,80,55,16,67,39,21
32,65,1,24,86,31,91,79,47,44,2,37,14,92,74,25
85,93,94,10,11,32,14,7,70,63,35,40,55,29,42,33
37,6,76,99,39,4,74,36,31,98,50,49,16,67,34,61
68,42,62,59,77,88,79,60,75,89,26,78,11,96,8,9
85,87,94,14,59,69,36,7,12,3,70,54,21,25,16,37
51,80,0,32,63,34,85,23,38,99,74,83,45,58,52,35
82,5,12,60,11,67,6,34,86,42,15,75,63,32,79,23
33,66,39,41,52,59,40,56,61,14,76,69,95,81,67,6
80,74,41,36,43,30,64,9,40,55,87,34,21,72,38,8
80,17,70,78,26,86,29,61,95,63,65,81,72,19,9,73
85,87,70,23,60,90,82,9,79,78,53,97,51,81,22,47
64,58,24,18,10,45,60,77,92,52,76,85,21,79,16,94
88,43,98,45,20,4,63,74,34,3,91,93,82,39,38,7
47,48,4,13,66,72,18,41,89,86,55,69,43,30,6,12
33,86,8,35,49,2,23,7,28,62,53,74,24,31,46,58
67,37,52,14,80,46,76,92,34,18,64,62,8,69,63,58
53,18,94,34,31,73,28,59,6,9,86,84,74,99,29,25
73,75,68,20,6,71,81,72,23,51,67,44,97,96,65,34
21,44,16,22,56,33,3,92,55,64,81,70,53,39,28,85
4,8,14,29,7,47,48,56,11,53,83,82,0,67,87,92
19,68,31,55,58,88,93,5,76,30,70,50,11,17,15,0
26,53,78,86,20,81,7,24,28,34,65,25,23,38,84,92
71,21,51,42,23,40,78,69,33,15,0,92,45,72,35,43
16,35,5,64,53,83,79,40,38,51,63,4,89,32,8,36
54,30,64,6,78,95,69,10,42,32,59,9,4,16,63,15
70,44,77,74,89,11,4,43,28,38,57,10,59,21,6,16
31,93,26,18,17,43,72,3,61,56,76,6,95,65,51,42
75,63,48,50,4,17,69,86,32,96,84,39,66,26,61,37
5,34,69,45,57,73,11,55,10,42,95,54,56,51,89,25
95,99,12,48,10,21,20,52,18,46,6,2,93,44,29,17
36,32,5,88,87,37,17,64,34,27,84,80,10,6,55,28
15,8,83,17,11,69,87,61,6,40,72,32,88,75,56,44
78,96,37,18,36,77,52,99,26,6,25,71,39,45,33,67
35,83,86,70,17,32,48,94,79,95,37,45,59,66,55,19
